Nazwa produktu,Białko (g),Węglowodany (g),Tłuszcz (g)
FUSILLI AL BRONZO- Pâtes alimentaires de qualité supérieure 400G,14,70,2
Yakisoba soja classique,4.2,26,13
Spaghetti N°15,14,70,1
Ramen saveur poulet shio,1.8,10,3.6
Lasagne,13,71,1.8
Nouilles de blé,1.8,11,3.5
Fusilli,12,72,1.5
Ramen Miso et Légumes,2,11,3.6
Linguine,12,71,1.8
Yakisoba saveur Poulet pad thaï,4.6,29,11
Shin Kimchi Noodles,8.2,67,15
Macaroni,12,68,2
Pasta d'oro gluten free,5.5,79,0.8
Coquillettes,13,70,1.9
Nouille chinoise,2,10,4.5
Ramen soja,2,11,41
Noodles Chicken,11,64.1,17.5
Cannelloni - Pâtes alimentaires de qualité supérieure,13,74,1.4
Farfalle,12,71,1.8
Super Spicy Red Shin,8.1,67,14
Cheveux d'ange,13,70,1.9
Makaron Lubella Pióra nr 17,13,70,1.4
Kurczak curry instant noodle soup,1.2,8.9,3.3
Penne Rigate,13,70,1.9
Nudle ser w ziołach,1.7,9.4,4.3
Pipe rigate,13,70,1.9
Tagliatelle,12,74,1.5
Pâtes Farfalle,13,70,1.9
Świderki,13,70,1.4
3 min COQUILLETTE,12,72,1.2
Roasted Duck Sweet Onion Soup,2.1,9.1,2.9
3min PENNE RIGATE CUISSON RAPIDE,12,68,2
N°11 Spaghetti,12,72,1.3
Fusilli cuisson rapide 3mn Al dente,12,72,1.2
Sardinen in Sonnenblumenöl mit Chili,23.9,54.2,1.7
Oyakata Kurczak Teriyaki,4.9,30,11
Lasagne Bolognese mit Rindfleisch,7.2,12.8,7.5
Lasaña,8,12.8,8.4
Zupa błyskawiczna o smaku kurczaka,7.6,53,16.9
Poêlée de nouilles chinoises,3.2,12,2.1
Spaghetti Pełnoziarnisty,7,27,1
Barbecue Chicken,1.3,9.1,3.1
Grzybowa,1.2,8.6,3.2
Pasta Kids,12,72.1,1.5
Serpentini,12,72,1.2
Nouilles,13,70,1.9
Makarom pełnoziarnisty pióra,15,62,2.7
Makaron muszelki,12,71,1.5
Makaron ryżowy,5.5,79,1
Pasta Kids Peppa Pig,12,72.1,1.5
Capellini,12,72,1.2
Instant Noodles Tomato Flavour,10.2,60.6,20.8
Pasta Penne,12,73,1.5
"Pasta kids, PAW PATROL",12,72.1,1.5
Instant noodles curry flavour,10,66,17
Łazanki,13,70,1.4
Gabelspaghetti,13,70,2.5
Makaron penne rigate,13,70,1.7
Makaron ryżowy wstążki,6.9,81,0.6
Pâtes Spaghetti,12,68,2
Penne rurka skośna,11,77,0.7
Makaron bezjajeczny suszony,11,74,1.2
Ramen kimchi,10,62.5,15.8
Kokardki Farfalle,13,70,1.4
Kluski śląskie,1.6,28,1
Makaron Staropolski,11,73,1.1
Makaron soba,14,72,0.9
Tortellini z ricottą i szpinakiem,4.8,15,5.5
Penne 100% zielonego groszku,22,63,1.6
Wholegrain pasta spaghetti,16,66,3.3
Makaron spaghetti,6.6,38,0.7
Pork Ramen,2.4,11,4
Primo Gusto Spaghetti Whole Wheat,12,64,2
Spaghetti makaron,11.2,72.9,1.1
Smaki z ogrodu,12,76,1.9
Wholegrain Pasta,16,66,3.3
Soba nudels,11,61,0.5
Orzo medium,12,72.1,1.5
Makaron Penne Z Kurczakiem,9.3,14,3.8
Ramen Soy Souce,1.4,9.3,3.2
Makaron pełnoziarnisty,7.1,25,1.7
5-jajeczna Krajanka,14,69,3.2
Anelli siciliani,12,73,1.5
Ravioli z ricottą i suszonymi pomidorami,9.9,49.7,1.9
Makaron pełnoziarnisty gotowany,15,70,1.6
Makaron falbanki,11,73,1.1
Mie noodles,11,78,0.4
Makaron z semoliny z pszenicy durum z dodatkiem sepii,13,75,1.9
Tradycyjny z Ludwina 4 jajeczny,13,69,3.1
"Makaron 5-jajeczny, krajanka",13,72,2.8
kopytka,3,30,1.3
Makaron z soczewicy czerwonej,24,54,1.7
Nitki Cięte - filini,13,70,1.4
Makaron gryczany rurki,6.8,39,2.7
Kim Chi zupa błyskawiczna z kluskami,1.6,10.3,4.1
Wloski makaron,12,75,2.1
Makaron Malma pióra nr. 14,13,69,1.6
Makaron Świderki,15,70,1.6
Makaron Cavatappi,15,70,1.6
Penne,12.5,64.4,2.1
Makaron fusilli-świderek z kurkumą,11,76,0.9
Pappardelle,14,70,1
Primo Gusto Lasagne,12,73,1.5
Instant-Nudeln mit Hühnergeschmack,8.7,57,22
Makaron Tagliolini,14,74,1.6
Pâtes a l’encre de seiche,12,73,1.2
Espirales cocción rápida,12,68,2
Makaron wstęgi,13,70,3.1
Makaron Lasagne,12,75,1.8
Nitka walcowana. 5-jajeczny makaron,13,70,3.7
Makaron pełnoziarnisty świderki,7.1,26,1.6
Gniazda nitki,13,70,1.4
Świdry fusilli z żytem,7.5,31,1.6
Makaron linguine,13.5,71,1
Makaron Lubella świderki nr 19,6.6,38,0.7
Makaron 5-jajeczny w kształcie ryżu,13,70,3.7
Makaron szlachecki jajeczny. Wstażki - Gniazda,13,70,3.1
makaron ze szpinakiem,11,75,0.5
Makaron Szlachecki 5-jajeczny. Krajanka,11,72.2,2.9
Makaron rosołowy,11,77,0.7
Zupa o smaku sera i boczku,7.3,51.5,18.9
pan carré,8.4,48,3.6
Tagliatelle Carbonara,5.9,17,6.8
makaron jajeczny krajanka,14,72,3.3
Makaron Ramen noodles,15,71,2.5
Spaghetti pasta,11,74,1.2
Nudle Pieczony kurczak,1.9,11,4
Makaron rurki,11,78,1.6
Makaron z pszenicy twardej durum,13,70,1.7
Flomaria,13,70,3.4
500G Spaghetti Complets,12,66,2.1
Makaron pszenny Mie,11,72,1.6
Nudle ostry boczek,1.7,11,4
Wegańskie spaghetti z sosem bolognese,5.4,18,3.9
